call_id,utc_time,time,dist,call_type,cable,snr,filename
1,2021-11-03 22:10:45,13.421796842334444,56264.41350209858,HF,North,13.215686739673119,Denoised_SNR_North_2021-11-03_22:10:32.nc
1,2021-11-03 22:10:45,13.694700091007695,56970.57024425617,HF,North,16.935179459056883,Denoised_SNR_North_2021-11-03_22:10:32.nc
1,2021-11-03 22:10:45,13.9149378004633,57483.53316072913,HF,North,18.186576349532675,Denoised_SNR_North_2021-11-03_22:10:32.nc
1,2021-11-03 22:10:46,14.216567706891627,58049.79092566682,HF,North,19.362349895042453,Denoised_SNR_North_2021-11-03_22:10:32.nc
1,2021-11-03 22:10:46,14.584812553241951,58637.431319857045,HF,North,20.3545874412496,Denoised_SNR_North_2021-11-03_22:10:32.nc
1,2021-11-03 22:10:46,14.913291387237857,59196.054510380156,HF,North,19.32413296955779,Denoised_SNR_North_2021-11-03_22:10:32.nc
1,2021-11-03 22:10:47,15.27826786945553,59881.637516931245,HF,North,17.6733182856031,Denoised_SNR_North_2021-11-03_22:10:32.nc
1,2021-11-03 22:10:46,14.534533159821944,23431.846426103228,HF,North,7.775906585349044,Denoised_SNR_North_2021-11-03_22:10:32.nc
1,2021-11-03 22:10:46,14.261553848480803,24001.59387289865,HF,North,9.548653277467189,Denoised_SNR_North_2021-11-03_22:10:32.nc
1,2021-11-03 22:10:45,13.723177984446886,25193.843159711298,HF,North,11.65863967937329,Denoised_SNR_North_2021-11-03_22:10:32.nc
1,2021-11-03 22:10:46,14.049236606326582,24560.790441049718,HF,North,5.834585704624196,Denoised_SNR_North_2021-11-03_22:10:32.nc
2,2021-11-03 22:10:57,25.288173569083042,17619.056251308437,HF,North,2.7806764194431532,Denoised_SNR_North_2021-11-03_22:10:32.nc
2,2021-11-03 22:10:55,23.725109128987043,20217.973982697218,HF,North,14.79953216050078,Denoised_SNR_North_2021-11-03_22:10:32.nc
2,2021-11-03 22:10:55,23.142989299623704,21068.58632460543,HF,North,12.976621738473568,Denoised_SNR_North_2021-11-03_22:10:32.nc
2,2021-11-03 22:10:54,22.45544619407645,22313.384873739393,HF,North,15.24045609314755,Denoised_SNR_North_2021-11-03_22:10:32.nc
2,2021-11-03 22:10:52,20.402356617661205,25231.18762952358,HF,North,17.548909819164308,Denoised_SNR_North_2021-11-03_22:10:32.nc
2,2021-11-03 22:10:51,19.877850966409206,25988.862221228108,HF,North,17.22148857622141,Denoised_SNR_North_2021-11-03_22:10:32.nc
2,2021-11-03 22:10:50,18.672961048231,27876.704438574885,HF,North,18.485762413840316,Denoised_SNR_North_2021-11-03_22:10:32.nc
