call_id,segment_id,utc_time,time,dist,call_type,cable,snr,filename
1,3,2021-11-04 16:11:15,13.91847371034559,46564.10171344802,HF,South,16.15907335670879,Denoised_SNR_South_2021-11-04_16:11:02.nc
1,3,2021-11-04 16:11:16,14.352282843237887,48236.51490149065,HF,South,14.118827188371851,Denoised_SNR_South_2021-11-04_16:11:02.nc
1,3,2021-11-04 16:11:17,15.037981150067644,49564.60772728921,HF,South,21.862572444143503,Denoised_SNR_South_2021-11-04_16:11:02.nc
1,3,2021-11-04 16:11:18,16.017550159824445,51610.85445148254,HF,South,15.864317240517796,Denoised_SNR_South_2021-11-04_16:11:02.nc
1,3,2021-11-04 16:11:19,17.47290983146312,54453.95687115501,HF,South,19.603444760024022,Denoised_SNR_South_2021-11-04_16:11:02.nc
1,3,2021-11-04 16:11:20,18.221580431777245,55752.53652304693,HF,South,14.515001279052735,Denoised_SNR_South_2021-11-04_16:11:02.nc
1,3,2021-11-04 16:11:20,18.536441899199076,56687.120363423695,HF,South,12.225358773695874,Denoised_SNR_South_2021-11-04_16:11:02.nc
1,4,2021-11-04 16:11:15,13.882495132706786,40733.17716503566,HF,South,18.85916313519198,Denoised_SNR_South_2021-11-04_16:11:02.nc
1,4,2021-11-04 16:11:16,14.189512729098823,39889.46035322825,HF,South,18.986822024973968,Denoised_SNR_South_2021-11-04_16:11:02.nc
1,4,2021-11-04 16:11:16,14.370932217875936,39425.0890847141,HF,South,11.982257461428391,Denoised_SNR_South_2021-11-04_16:11:02.nc
1,4,2021-11-04 16:11:16,14.78028901306532,38725.26196174206,HF,South,14.353360606577327,Denoised_SNR_South_2021-11-04_16:11:02.nc
1,4,2021-11-04 16:11:17,15.329199261160172,37894.62603073786,HF,South,15.210350811569285,Denoised_SNR_South_2021-11-04_16:11:02.nc
1,4,2021-11-04 16:11:18,16.403760848532304,36311.83945354877,HF,South,13.862836387873903,Denoised_SNR_South_2021-11-04_16:11:02.nc
1,4,2021-11-04 16:11:19,17.810524176786377,33866.46903590939,HF,South,6.461854140062226,Denoised_SNR_South_2021-11-04_16:11:02.nc
2,1,2021-11-04 16:11:15,13.415252872550402,74482.61539150709,HF,South,8.954382428336702,Denoised_SNR_South_2021-11-04_16:11:02.nc
2,1,2021-11-04 16:11:15,13.490361113139203,74887.42595345674,HF,South,16.156150008208506,Denoised_SNR_South_2021-11-04_16:11:02.nc
2,1,2021-11-04 16:11:15,13.85338427598507,75697.04707735602,HF,South,6.37116955152964,Denoised_SNR_South_2021-11-04_16:11:02.nc
2,1,2021-11-04 16:11:16,14.429214120499203,76779.47531909094,HF,South,0.0,Denoised_SNR_South_2021-11-04_16:11:02.nc
2,1,2021-11-04 16:11:16,14.59619476097622,77525.56582540707,HF,South,0.0,Denoised_SNR_South_2021-11-04_16:11:02.nc
2,2,2021-11-04 16:11:15,13.058994572887876,70522.25575921446,HF,South,12.849108902763232,Denoised_SNR_South_2021-11-04_16:11:02.nc
2,2,2021-11-04 16:11:15,13.498021097676443,69450.76019253113,HF,South,20.602584961430203,Denoised_SNR_South_2021-11-04_16:11:02.nc
