call_id,utc_time,time,dist,call_type,cable,snr,filename
1,2021-11-03 22:09:54,12.405526345797353,17957.71340030743,LF,North,12.120799332376253,Denoised_SNR_North_2021-11-03_22:09:42.nc
1,2021-11-03 22:09:53,11.092628315584763,20374.71805138338,LF,North,13.170585822779726,Denoised_SNR_North_2021-11-03_22:09:42.nc
1,2021-11-03 22:09:50,8.487030686393624,24196.957964712787,LF,North,15.47896949647326,Denoised_SNR_North_2021-11-03_22:09:42.nc
1,2021-11-03 22:09:46,4.761732102125271,30145.60953239241,LF,North,18.62113218975084,Denoised_SNR_North_2021-11-03_22:09:42.nc
1,2021-11-03 22:09:47,5.381502894138151,36322.97842211117,LF,North,21.726886974845364,Denoised_SNR_North_2021-11-03_22:09:42.nc
1,2021-11-03 22:09:46,4.609951499999668,34967.8291215176,LF,North,14.123778360952862,Denoised_SNR_North_2021-11-03_22:09:42.nc
1,2021-11-03 22:09:49,7.322470870390472,39619.90651681533,LF,North,17.24199011837921,Denoised_SNR_North_2021-11-03_22:09:42.nc
1,2021-11-03 22:09:50,8.328002662253333,40782.258348126175,LF,North,11.183003033456318,Denoised_SNR_North_2021-11-03_22:09:42.nc
1,2021-11-03 22:09:51,9.610534020617008,43184.31437261819,LF,North,16.172279828356046,Denoised_SNR_North_2021-11-03_22:09:42.nc
1,2021-11-03 22:09:51,9.965372267217525,43614.56708249078,LF,North,23.51366847870916,Denoised_SNR_North_2021-11-03_22:09:42.nc
1,2021-11-03 22:09:52,10.522975226161195,44418.645917334645,LF,North,24.62784592681136,Denoised_SNR_North_2021-11-03_22:09:42.nc
1,2021-11-03 22:09:53,11.641897596865862,45905.48208380876,LF,North,17.83202437140071,Denoised_SNR_North_2021-11-03_22:09:42.nc
2,2021-11-03 22:10:07,25.653615660199886,35312.73276556621,HF,North,20.72254742545645,Denoised_SNR_North_2021-11-03_22:09:42.nc
2,2021-11-03 22:10:08,26.329272024777524,36675.23798978507,HF,North,14.383182097999608,Denoised_SNR_North_2021-11-03_22:09:42.nc
2,2021-11-03 22:10:09,27.670792632707027,38678.1206693868,HF,North,21.735878587281785,Denoised_SNR_North_2021-11-03_22:09:42.nc
2,2021-11-03 22:10:10,28.777302331218227,40381.252199660375,HF,North,18.199950313757203,Denoised_SNR_North_2021-11-03_22:09:42.nc
2,2021-11-03 22:10:11,29.120026574119926,41226.00543867607,HF,North,20.22355378250669,Denoised_SNR_North_2021-11-03_22:09:42.nc
2,2021-11-03 22:10:12,30.13840718159926,42547.635506168364,HF,North,23.431289181413916,Denoised_SNR_North_2021-11-03_22:09:42.nc
2,2021-11-03 22:10:07,25.454146995097414,30227.03070003453,HF,North,15.960875440860438,Denoised_SNR_North_2021-11-03_22:09:42.nc
2,2021-11-03 22:10:08,26.365394507982522,28502.046342074813,HF,North,9.04929405957216,Denoised_SNR_North_2021-11-03_22:09:42.nc
2,2021-11-03 22:10:08,26.905785474926017,27882.821187935428,HF,North,12.753163813216954,Denoised_SNR_North_2021-11-03_22:09:42.nc
2,2021-11-03 22:10:09,27.859416593061596,26261.041022332272,HF,North,12.101161839524684,Denoised_SNR_North_2021-11-03_22:09:42.nc
2,2021-11-03 22:10:10,28.473978869193417,25243.742554817563,HF,North,17.41099348089567,Denoised_SNR_North_2021-11-03_22:09:42.nc
3,2021-11-03 22:10:28,46.84606806501221,35077.57580947965,LF,North,25.515257569221273,Denoised_SNR_North_2021-11-03_22:09:42.nc
3,2021-11-03 22:10:29,47.92392399757409,37181.00715830802,LF,North,27.025812037300103,Denoised_SNR_North_2021-11-03_22:09:42.nc
3,2021-11-03 22:10:31,49.17490151455759,39130.91313560107,LF,North,21.43795102368768,Denoised_SNR_North_2021-11-03_22:09:42.nc
3,2021-11-03 22:10:32,50.15244132291082,40605.23228916411,LF,North,21.606908863725963,Denoised_SNR_North_2021-11-03_22:09:42.nc
3,2021-11-03 22:10:32,50.548926000424714,41537.38246367493,LF,North,21.895341758035443,Denoised_SNR_North_2021-11-03_22:09:42.nc
3,2021-11-03 22:10:31,49.07520763481488,26421.72840830282,LF,North,19.57566601346666,Denoised_SNR_North_2021-11-03_22:09:42.nc
3,2021-11-03 22:10:31,49.40067857210159,25701.25331336703,LF,North,11.884232482054543,Denoised_SNR_North_2021-11-03_22:09:42.nc
3,2021-11-03 22:10:30,48.23933909132856,27605.36606426876,LF,North,19.235095121025413,Denoised_SNR_North_2021-11-03_22:09:42.nc
3,2021-11-03 22:10:32,50.53982685260508,24219.13311807055,LF,North,17.789230387412147,Denoised_SNR_North_2021-11-03_22:09:42.nc
3,2021-11-03 22:10:32,50.79132712232663,23817.725565177752,LF,North,14.893677510156849,Denoised_SNR_North_2021-11-03_22:09:42.nc
4,2021-11-03 22:10:24,42.012743630278884,55925.66977040421,HF,North,14.963570051745073,Denoised_SNR_North_2021-11-03_22:09:42.nc
4,2021-11-03 22:10:24,42.341494138645416,56719.27461746029,HF,North,14.775458443129956,Denoised_SNR_North_2021-11-03_22:09:42.nc
4,2021-11-03 22:10:24,42.743300315537844,57777.41441353505,HF,North,17.79546642008756,Denoised_SNR_North_2021-11-03_22:09:42.nc
4,2021-11-03 22:10:24,42.925939486852585,58041.94936255374,HF,North,21.629130129329273,Denoised_SNR_North_2021-11-03_22:09:42.nc
4,2021-11-03 22:10:24,42.17298584832265,25794.12246111437,HF,North,15.765350308331298,Denoised_SNR_North_2021-11-03_22:09:42.nc
4,2021-11-03 22:10:24,42.45605107174211,25118.56705224303,HF,North,11.447299593472675,Denoised_SNR_North_2021-11-03_22:09:42.nc
4,2021-11-03 22:10:25,43.21961831009256,58552.05727192929,HF,North,17.863639789449348,Denoised_SNR_North_2021-11-03_22:09:42.nc
4,2021-11-03 22:10:25,43.57128835806271,59180.152744657105,HF,North,13.146765013952574,Denoised_SNR_North_2021-11-03_22:09:42.nc
4,2021-11-03 22:10:26,44.03701355672588,59928.704883387516,HF,North,17.464963146735396,Denoised_SNR_North_2021-11-03_22:09:42.nc
5,2021-11-03 22:10:45,63.37434731377208,56125.51888476154,HF,North,15.697009446767613,Denoised_SNR_North_2021-11-03_22:09:42.nc
5,2021-11-03 22:10:45,63.69228558319678,56845.05394609238,HF,North,13.855206117721398,Denoised_SNR_North_2021-11-03_22:09:42.nc
5,2021-11-03 22:10:46,64.0943839827633,57716.96113805799,HF,North,19.719684055122396,Denoised_SNR_North_2021-11-03_22:09:42.nc
5,2021-11-03 22:10:46,64.49648238232984,58461.89155449463,HF,North,17.082348615487927,Denoised_SNR_North_2021-11-03_22:09:42.nc
5,2021-11-03 22:10:46,64.90772223443732,59219.29101022209,HF,North,18.84496623234819,Denoised_SNR_North_2021-11-03_22:09:42.nc
